ticker,entry_date,entry_open,exit_date,exit_open,exit_reason,hold_days,trade_return,trade_return_net
2885,2026-04-28,52.8,2026-04-30,51.3,gap_attack_filled,1,-0.028409,-0.034259
2886,2025-05-15,40.3,2025-05-20,41.3,sunrise_attack_end,2,0.024814,0.018964
2886,2025-05-16,40.45,2025-05-20,41.3,sunrise_attack_end,1,0.021014,0.015164
2886,2025-05-19,41.3,2025-05-22,40.6,gap_attack_filled,2,-0.016949,-0.022799
2886,2025-05-20,41.0,2025-05-22,40.6,gap_attack_filled,1,-0.009756,-0.015606
2886,2025-07-02,41.8,2025-07-04,41.7,gap_attack_filled,1,-0.002392,-0.008242
2886,2025-07-08,42.05,2025-07-10,41.55,breakout_price_break,1,-0.011891,-0.017741
2886,2025-07-11,42.3,2025-07-16,41.75,breakout_price_break,2,-0.013002,-0.018852
2886,2025-07-22,42.85,2025-07-25,42.7,sunrise_attack_end,2,-0.003501,-0.009351
2886,2025-07-23,42.65,2025-07-25,42.7,sunrise_attack_end,1,0.001172,-0.004678
2887,2025-10-09,18.45,2025-10-14,18.85,breakout_price_break,1,0.02168,0.01583
2887,2025-10-14,19.15,2025-10-17,19.5,sunrise_attack_end,2,0.018277,0.012427
2887,2025-12-17,21.65,2025-12-19,21.1,gap_attack_filled,1,-0.025404,-0.031254
2889,2026-02-23,17.6,2026-02-25,17.25,sunrise_attack_end,1,-0.019886,-0.025736
2890,2025-06-09,23.9,2025-06-12,23.95,sunrise_attack_end,2,0.002092,-0.003758
