ticker,trade_date,market_regime,open,high,low,close,volume,avg_volume_20,volume_ratio,close_pos,prior_high_60,breakout_next_not_low_open,breakout_next_low_open,ret_10d_net,ret_20d_net,breakout_strength_pct,pre_rank_score,intraday_rows,intraday_strong_attack,below_open_after_1130,intraday_attack_failure,intraday_close_pos,intraday_return_pct,scanner_score,rank_in_date
4961,2026-04-22,bull,156.0,169.0,155.5,169.0,3353266,1132290.0,2.9614904308966783,1.0,159.5,True,False,,,5.956112852664575,85.0,,,,,,,85.0,20
2497,2026-04-22,bull,56.2,61.1,55.7,61.1,2373274,907638.75,2.61477818129735,1.0,58.2,True,False,,,4.982817869415812,85.0,,,,,,,85.0,21
6166,2026-04-22,bull,78.8,81.0,77.9,81.0,2153348,1247133.1,1.726638479886389,1.0,79.7,True,False,,,1.6311166875784044,85.0,,,,,,,85.0,22
8040,2026-04-22,bull,70.3,71.9,70.3,71.9,1811946,820646.9,2.2079483880338793,1.0,65.4,True,False,,,9.938837920489284,85.0,,,,,,,85.0,23
6208,2026-04-22,bull,76.9,82.5,76.9,82.5,1780369,1009948.55,1.762831383836335,1.0,77.7,True,False,,,6.177606177606165,85.0,,,,,,,85.0,24
6877,2026-04-22,bull,169.0,180.0,165.5,180.0,1754216,1114488.7,1.5740096781600388,1.0,172.5,True,False,,,4.347826086956519,85.0,,,,,,,85.0,25
2460,2026-04-22,bull,37.1,39.8,36.9,39.4,3709782,1688814.3,2.1966784625165716,0.8620689655172418,38.45,False,True,,,2.4707412223667014,75.0,,,,,,,75.0,26
6182,2026-04-22,bull,44.05,45.0,42.5,45.0,102141473,13081069.5,7.808342658832292,1.0,43.25,True,False,,,4.046242774566466,85.0,266.0,False,True,True,1.0,2.157,69.0,27
5498,2026-04-21,bull,77.6,83.1,76.8,83.1,50348823,14636657.15,3.439912712582736,1.0,76.0,True,False,,,9.342105263157885,85.0,255.0,True,False,False,1.0,7.088,99.0,1
3189,2026-04-21,bull,453.0,473.5,446.0,473.5,38001566,18582767.25,2.0449896126208005,1.0,430.5,True,False,,,9.988385598141702,85.0,256.0,True,False,False,1.0,4.525,99.0,2
2436,2026-04-21,bull,69.6,75.1,66.7,75.1,27574769,4802892.55,5.7412837603456275,1.0,71.4,True,False,,,5.182072829131634,85.0,266.0,True,False,False,1.0,7.902,99.0,3
2454,2026-04-21,bull,1930.0,2090.0,1925.0,2090.0,19459855,10563581.2,1.8421645682053356,1.0,1975.0,True,False,,,5.822784810126591,85.0,255.0,True,False,False,1.0,8.29,99.0,4
6153,2026-04-21,bull,19.0,20.65,18.9,20.65,16327665,5370209.4,3.040414960355177,1.0,20.15,True,False,,,2.481389578163773,85.0,236.0,True,False,False,1.0,8.684,99.0,5
6205,2026-04-21,bull,82.0,89.1,79.6,89.1,11873824,2959487.05,4.01212230342417,1.0,82.5,True,False,,,7.999999999999985,85.0,208.0,True,False,False,1.0,8.659,99.0,6
6231,2026-04-21,bull,304.0,317.0,282.5,317.0,5031781,1979343.8,2.5421460385002344,1.0,292.5,True,False,,,8.376068376068368,85.0,191.0,True,False,False,1.0,4.276,99.0,7
6174,2026-04-21,bull,31.2,33.2,30.45,33.2,4914542,862459.15,5.698289594353541,1.0,30.25,True,False,,,9.752066115702496,85.0,173.0,True,False,False,1.0,6.41,99.0,8
3661,2026-04-21,bull,3745.0,3985.0,3740.0,3985.0,4763004,2494412.2,1.9094694934542091,1.0,3735.0,True,False,,,6.693440428380182,85.0,241.0,True,False,False,1.0,6.409,99.0,9
3430,2026-04-21,bull,98.9,103.5,98.8,103.5,3997810,831313.6,4.809027543877545,1.0,94.1,True,False,,,9.989373007438896,85.0,94.0,True,False,False,1.0,4.651,99.0,10
6532,2026-04-21,bull,84.8,93.2,83.9,93.2,2652152,1695611.8,1.5641268832877901,1.0,86.5,True,False,,,7.745664739884406,85.0,177.0,True,False,False,1.0,9.906,99.0,11
6415,2026-04-21,bull,377.5,398.5,364.5,394.0,20094999,6202290.8,3.2399317684362687,0.8676470588235294,365.5,True,False,,,7.797537619699035,85.0,264.0,True,False,False,0.868,4.371,95.0,12
6488,2026-04-21,bull,565.0,602.0,555.0,597.0,14014125,4648557.55,3.0147255033983607,0.8936170212765957,555.0,True,False,,,7.567567567567557,85.0,266.0,True,False,False,0.894,5.664,95.0,13
6462,2026-04-21,bull,122.0,130.5,121.0,130.5,5983932,1648366.95,3.630218380682772,1.0,129.0,True,False,,,1.1627906976744207,79.0,210.0,True,False,False,1.0,6.967,93.0,14
