ticker,trade_date,open,high,low,close,volume,short_entry,cover_signal,market_regime,ret_5d_short,ret_10d_short,ret_20d_short,ret_close_basis_5d_short,ret_close_basis_10d_short,ret_close_basis_20d_short
1810,2025-05-26,16.75,16.75,16.4,16.4,651986,True,False,range,0.01538461538461533,0.0185185185185186,0.06109324758842449,0.009230769230769154,0.012345679012345734,0.05466237942122176
1810,2025-06-30,15.35,15.5,15.0,15.05,1311163,True,False,range,0.04123711340206193,0.03767123287671237,-0.061919504643962786,0.03436426116838498,0.03082191780821919,-0.06811145510835903
1810,2025-11-18,17.05,17.1,16.35,16.5,1668358,True,False,bear,-0.01759530791788866,-0.023323615160349753,-0.01759530791788866,-0.032258064516129115,-0.03790087463556846,-0.032258064516129115
1813,2025-12-02,13.15,13.15,12.9,12.9,53651,True,False,range,0.0038910505836575737,0.0078125,0.0117647058823529,0.0038910505836575737,0.0078125,0.0117647058823529
1813,2026-04-22,13.25,13.3,12.8,13.0,55537,True,False,bull,0.05691056910569103,0.05263157894736836,,0.05691056910569103,0.05263157894736836,
1813,2026-04-23,13.0,13.0,12.55,12.65,89451,True,False,bull,0.020325203252032464,0.020325203252032464,,0.028455284552845406,0.028455284552845406,
1817,2025-06-30,41.0,41.3,39.9,40.0,252391,True,False,range,0.03680203045685282,0.040764331210191074,0.05283505154639179,0.015228426395939021,0.019108280254777066,0.030927835051546504
1817,2025-08-11,38.4,38.4,37.4,37.7,184569,True,False,bull,-0.03209242618741981,-0.04556962025316447,-0.0479797979797979,-0.03209242618741981,-0.04556962025316447,-0.0479797979797979
1817,2025-10-28,38.95,38.95,38.3,38.35,41654,True,False,bull,0.0,-0.022959183673469497,-0.0026041666666667407,0.0013054830287206887,-0.02168367346938782,-0.0013020833333332593
1903,2025-10-02,52.7,52.9,51.4,51.7,425119,True,False,range,-0.07843137254901955,-0.042592592592592515,-0.02083333333333326,-0.07843137254901955,-0.042592592592592515,-0.02083333333333326
1903,2026-03-04,53.3,53.3,51.5,51.8,501710,True,False,range,0.013671875,0.03386454183266929,0.03386454183266929,0.011718749999999778,0.031872509960159334,0.031872509960159334
1904,2025-06-02,17.8,17.8,17.25,17.35,819772,True,False,bear,-0.014204545454545414,-0.005730659025787843,-0.014204545454545414,-0.014204545454545414,-0.005730659025787843,-0.014204545454545414
1904,2025-06-19,17.0,17.05,16.7,16.7,1112351,True,False,range,-0.034682080924855585,-0.08743169398907114,-0.08743169398907114,-0.034682080924855585,-0.08743169398907114,-0.08743169398907114
1905,2026-01-05,11.5,11.5,11.2,11.3,2483417,True,False,bull,-0.06584362139917699,-0.09920634920634919,-0.06198347107438018,-0.06995884773662553,-0.10317460317460314,-0.06611570247933873
1906,2026-03-09,11.5,11.5,11.15,11.15,164604,True,False,range,0.017937219730941534,0.031818181818181746,-0.02991452991452992,0.0,0.013636363636363669,-0.04700854700854695
1907,2025-06-13,25.45,25.45,24.9,24.95,1295817,True,False,range,0.05084745762711851,0.05982905982905984,0.09492273730684331,0.05720338983050843,0.06623931623931623,0.10154525386313473
1909,2025-10-30,9.68,9.76,9.46,9.49,2537755,True,False,range,-0.007291666666666696,-0.030518819938962438,-0.10094339622641513,-0.011458333333333237,-0.034587995930823956,-0.10471698113207539
1909,2025-11-04,9.43,9.46,9.23,9.26,1939503,True,False,range,-0.03039832285115296,-0.08866995073891626,-0.17040358744394624,-0.02935010482180289,-0.08768472906403946,-0.16950672645739917
1909,2026-03-09,9.36,9.36,9.12,9.17,3223181,True,False,range,-0.0021739130434782483,-0.006493506493506551,-0.04573804573804574,-0.003260869565217317,-0.007575757575757569,-0.04677754677754675
2002,2025-05-29,20.15,20.15,19.75,19.75,76493045,True,False,range,0.007672634271099765,0.02604166666666674,0.03141361256544495,0.010230179028132946,0.02864583333333348,0.03403141361256545
2002,2025-06-02,19.7,19.7,19.05,19.2,46970119,True,False,bear,-0.007751937984496249,0.0,0.02127659574468077,-0.007751937984496249,0.0,0.02127659574468077
2002,2025-06-20,18.95,19.0,18.6,18.65,43765803,True,False,range,-0.03141361256544506,-0.038961038961038974,-0.02631578947368418,-0.023560209424083878,-0.03116883116883129,-0.018421052631579005
2006,2025-06-19,64.0,64.1,62.3,62.4,2892176,True,False,range,-0.024767801857585092,-0.048338368580060465,-0.02777777777777779,-0.034055727554179516,-0.05740181268882183,-0.03703703703703698
2006,2025-09-01,63.5,63.5,61.5,61.6,2768714,True,False,bull,-0.0016181229773462036,0.030050083472454192,0.016474464579901094,-0.003236245954692518,0.028380634390651194,0.014827018121911006
2006,2025-09-11,61.1,61.1,60.0,60.1,2332485,True,False,range,0.01686340640809436,-0.0016556291390729116,-0.02898550724637683,0.013490725126475533,-0.004966887417218513,-0.032206119162640934
