variant,ticker,trade_date,market_regime,open,high,low,close,volume,breakout_level,stop_price_breakout,stop_price_atr14,ret_10d_net,ret_20d_net
breakout_attack_tradable,1303,2026-02-25,bull,92.2,95.4,89.0,94.9,164199594,91.4,88.55499999999999,83.16428571428571,-0.19433167539267013,-0.22260392670157067
breakout_attack_tradable,1304,2025-07-23,bull,10.25,10.8,10.25,10.8,5643868,10.75,10.19875,9.934285714285714,-0.047710465116279056,-0.015152325581395322
breakout_attack_tradable,1304,2025-07-30,range,10.6,11.35,10.6,11.15,6559660,11.0,10.546999999999999,10.164285714285715,-0.02797389380530977,-0.05452256637168149
breakout_attack_tradable,1304,2025-12-02,range,11.15,12.25,11.15,12.25,14590825,11.65,11.09425,10.682142857142857,-0.10466422924901184,-0.12837964426877477
breakout_attack_tradable,1304,2026-03-23,range,15.45,16.55,15.45,16.55,59483647,15.55,15.37275,14.435714285714285,-0.0390826283987916,-0.13878051359516616
breakout_attack_tradable,1305,2025-07-30,range,11.55,12.3,11.55,12.1,2719489,12.0,11.49225,11.070714285714287,-0.07523775510204075,-0.022176530612244873
breakout_attack_tradable,1305,2025-08-22,bull,12.2,12.75,12.15,12.65,4920053,12.3,12.08925,11.732142857142858,-0.08094881422924913,-0.09280652173913037
breakout_attack_tradable,1305,2026-03-19,bull,15.0,15.45,14.5,15.45,25023743,15.0,14.4275,13.45357142857143,0.05628017751479288,-0.13306893491124247
breakout_attack_tradable,1305,2026-03-23,range,18.0,18.45,18.0,18.45,21417417,16.95,16.86525,15.839285714285714,-0.05659626865671639,-0.14316343283582098
breakout_attack_tradable,1307,2026-02-25,bull,34.55,36.65,34.55,36.15,4135476,34.6,34.37725,33.482142857142854,-0.08053879668049777,-0.06117503457814664
breakout_attack_tradable,1308,2025-10-13,range,12.95,13.9,12.95,13.65,17324240,13.2,12.88525,12.610714285714284,-0.04234635036496346,-0.10074051094890499
breakout_attack_tradable,1308,2025-12-02,range,13.35,14.55,13.25,14.55,5851269,13.9,13.18375,12.678571428571429,-0.11251666666666668,-0.1291833333333333
breakout_attack_tradable,1308,2026-03-23,range,16.95,18.15,16.6,18.15,34177238,17.6,16.517000000000003,15.450000000000001,-0.020555882352941125,-0.10584999999999997
breakout_attack_tradable,1309,2025-12-02,range,11.45,12.45,11.35,12.45,3392600,11.8,11.29325,10.92142857142857,-0.10701731517509724,-0.13814571984435794
breakout_attack_tradable,1309,2026-03-06,bull,13.0,13.95,12.9,13.95,11050554,13.75,12.8355,12.214285714285715,0.17715653594771244,0.7261761437908495
breakout_attack_tradable,1309,2026-03-19,bull,16.5,17.15,16.2,17.15,16373556,16.8,16.119,15.007142857142856,0.3708078249336869,0.007412599469495928
breakout_attack_tradable,1312,2025-05-09,range,12.0,12.5,11.95,12.45,6806526,12.15,11.89025,11.532142857142857,-0.1699125000000001,-0.1777250000000001
breakout_attack_tradable,1312,2026-01-15,bull,12.85,14.1,12.75,13.75,34712317,13.6,12.68625,12.092857142857143,-0.04182122302158273,-0.07779244604316546
breakout_attack_tradable,1313,2025-07-28,range,9.9,10.5,9.72,10.45,7642273,10.4,9.6714,9.269285714285715,-0.056581707317073106,0.05268658536585371
breakout_attack_tradable,1313,2025-08-18,bull,10.25,11.2,10.25,11.05,14973778,10.8,10.19875,9.760714285714286,-0.09918333333333337,-0.1471833333333333
breakout_attack_tradable,1313,2026-03-03,bull,11.4,12.55,11.35,12.55,37238224,11.8,11.29325,10.846428571428572,-0.029196303501945443,-0.02530525291828798
