date,open,high,low,close,spread,market_ret_1d,market_open_ret
2025-06-16,22058.57,22094.6,21936.38,22049.9,-23.05,-0.001044264586292254,-0.0006514761280209669
2025-06-17,22172.59,22331.69,22118.46,22211.59,161.69,0.007332913074435732,0.0055641975700568835
2025-06-18,22135.83,22370.25,22104.68,22356.73,145.14,0.00653442639630919,-0.0034108319125284448
2025-06-19,22238.1,22249.4,21973.04,22003.5,-353.23,-0.015799716684864018,-0.005306232172594183
2025-06-20,21960.51,22089.48,21779.55,22045.74,42.24,0.001919694594041843,-0.0019537800804417804
2025-06-23,21750.7,21801.32,21551.58,21732.02,-313.72,-0.014230413676293074,-0.013383084441710769
2025-06-24,22001.48,22201.05,22001.48,22188.76,456.74,0.021016914212300453,0.01239921553541734
2025-06-25,22341.87,22444.51,22284.52,22430.61,241.85,0.010899662712112068,0.0069003405327743295
2025-06-26,22425.39,22587.67,22391.27,22492.34,61.73,0.002752042855722614,-0.00023271770139110526
2025-06-27,22503.85,22580.08,22388.59,22580.08,87.74,0.0039008835897020866,0.0005117297711130231
2025-06-30,22508.33,22558.95,22256.02,22256.02,-324.06,-0.014351587771168295,-0.0031775795302761978
2025-07-01,22419.74,22730.76,22401.58,22553.72,297.7,0.013376156204029321,0.007356211937264767
2025-07-02,22463.55,22577.74,22396.26,22577.74,24.02,0.0010650127783797814,-0.003998010084367509
2025-07-03,22707.41,22816.2,22700.86,22712.97,135.23,0.005989527738383016,0.005743267483813597
2025-07-04,22756.55,22842.75,22500.97,22547.5,-165.47,-0.0072852647628205425,0.0019187274935861254
2025-07-07,22550.14,22550.5,22294.11,22428.72,-118.78,-0.0052679897993125335,0.0001170861514581123
2025-07-08,22375.65,22375.65,22190.46,22362.27,-66.45,-0.002962719227847188,-0.002366162670005223
2025-07-09,22253.17,22527.01,22211.1,22527.01,164.74,0.007366872862191398,-0.0048787533644840675
2025-07-10,22566.51,22699.29,22513.35,22693.25,166.24,0.007379585661834387,0.0017534506354814905
2025-07-11,22602.81,22770.01,22601.95,22751.03,57.78,0.002546131558943676,-0.003985326033071446
2025-07-14,22679.18,22735.23,22525.66,22614.97,-136.06,-0.005980388580209217,-0.0031580987761872237
2025-07-15,22618.43,22888.23,22588.26,22835.94,220.97,0.00977096144721834,0.0001529960022055299
2025-07-16,22967.51,23106.43,22923.12,23042.9,206.96,0.009062906979086627,0.0057615320411597
2025-07-17,23042.97,23159.54,22923.37,23113.28,70.38,0.0030543030608125576,3.037812080997071e-06
2025-07-18,23345.72,23468.21,23276.02,23383.13,269.85,0.011675106259258827,0.010056556230876978
2025-07-21,23314.29,23403.83,23243.79,23340.56,-42.57,-0.0018205432720085346,-0.0029440027917563283
2025-07-22,23301.66,23486.08,22985.9,22987.92,-352.64,-0.015108463550146278,-0.001666626679051486
2025-07-23,23063.57,23318.67,23063.57,23318.67,330.75,0.014387991606026107,0.0032908588510836
2025-07-24,23373.67,23455.09,23295.31,23373.73,55.06,0.002361198130082176,0.0023586250845353263
2025-07-25,23454.59,23485.56,23308.45,23364.38,-9.35,-0.0004000217338010481,0.0034594392936000418
2025-07-28,23477.1,23564.44,23350.73,23412.98,48.6,0.0020800894352857036,0.004824437883650168
2025-07-29,23414.36,23422.17,23094.67,23201.52,-211.46,-0.009031742221622285,5.8941663982903236e-05
2025-07-30,23288.72,23461.72,23264.64,23461.72,260.2,0.011214782479768592,0.003758374451328983
2025-07-31,23523.59,23631.11,23454.44,23542.52,80.8,0.0034439077782872918,0.002637061562408949
2025-08-01,23318.37,23484.21,23168.27,23434.38,-108.14,-0.004593391021861737,-0.009521070811451038
2025-08-04,23260.18,23378.94,23151.65,23378.94,-55.44,-0.0023657549292962488,-0.007433522883899646
2025-08-05,23498.4,23671.84,23498.4,23660.59,281.65,0.012047167236838074,0.005109726959391825
2025-08-06,23443.36,23557.49,23433.53,23447.36,-213.23,-0.009012032244335444,-0.009181089736139292
2025-08-07,23717.35,24050.54,23717.35,24003.77,556.41,0.023730176872790887,0.011514729163538906
2025-08-08,24026.65,24131.46,23967.99,24021.26,17.49,0.0007286355434998892,0.0009531836040754804
2025-08-11,23980.39,24249.05,23887.25,24135.5,114.24,0.004755787165202863,-0.0017014095014166175
2025-08-12,24182.84,24263.92,24065.43,24158.36,22.86,0.0009471525346480547,0.001961426115058673
2025-08-13,24232.04,24406.94,24172.19,24370.02,211.66,0.008761356317233515,0.0030498759021722055
2025-08-14,24258.5,24389.51,24198.88,24238.1,-131.92,-0.005413208524244206,-0.004576114422556898
2025-08-15,24266.23,24385.56,24164.43,24334.48,96.38,0.003976384287547319,0.0011605695165874952
2025-08-18,24272.55,24515.65,24257.3,24482.52,148.04,0.006083548939611605,-0.0025449485668073146
2025-08-19,24493.92,24551.42,24324.29,24353.5,-129.02,-0.005269882348712507,0.0004656383411509868
2025-08-20,24309.27,24309.27,23620.24,23625.44,-728.06,-0.029895497567084872,-0.0018161660541605729
2025-08-21,23739.83,24011.5,23739.83,23962.13,336.69,0.014251163152940283,0.0048418145863105
2025-08-22,24033.02,24071.65,23764.47,23764.47,-197.66,-0.008248849330172225,0.002958418137285701
2025-08-25,24108.81,24362.02,24108.75,24277.38,512.91,0.021583060762558448,0.014489698276460627
2025-08-26,24237.36,24382.42,24113.03,24305.1,27.72,0.001141803604836955,-0.0016484480615288621
2025-08-27,24449.81,24539.88,24410.08,24519.9,214.8,0.008837651357122667,0.005953894450136055
2025-08-28,24468.12,24502.37,24236.45,24236.45,-283.45,-0.011559998205539213,-0.0021117541262404282
2025-08-29,24438.03,24570.15,24233.1,24233.1,-3.35,-0.00013822156297649268,0.008317224676056112
2025-09-01,24143.37,24312.83,23885.41,24071.73,-161.37,-0.006659073746239641,-0.0037027866843284407
2025-09-02,24113.9,24295.03,23890.33,24016.78,-54.95,-0.0022827607321950216,0.0017518474991204958
2025-09-03,24036.88,24103.23,23925.49,24100.3,83.52,0.003477568599953962,0.0008369148570293028
2025-09-04,24235.27,24389.35,24168.16,24179.85,79.55,0.003300788786861464,0.00560034522391839
2025-09-05,24244.26,24494.58,24244.26,24494.58,314.73,0.013016209777976462,0.0026637882368998334
2025-09-08,24610.85,24729.96,24547.38,24547.38,52.8,0.0021555789076603826,0.004746764386243774
2025-09-09,24650.46,24880.07,24650.46,24855.18,307.8,0.01253901638382593,0.004199226149593116
2025-09-10,25032.88,25272.23,25032.88,25192.59,337.41,0.013575037477097318,0.007149415131976644
2025-09-11,25509.3,25541.44,25174.13,25215.71,23.12,0.000917730173832787,0.012571553778313316
2025-09-12,25349.7,25492.28,25349.7,25474.64,258.93,0.010268598425346775,0.005313750832318442
2025-09-15,25494.1,25519.94,25284.17,25357.16,-117.48,-0.0046116451498431354,0.0007638969579157884
2025-09-16,25335.46,25664.81,25335.46,25629.64,272.48,0.01074568287615807,-0.0008557740693359017
2025-09-17,25543.91,25632.07,25422.96,25438.25,-191.39,-0.007467525880191839,-0.003344955293948737
2025-09-18,25543.17,25769.36,25475.25,25769.36,331.11,0.013016225565831041,0.004124497557811413
2025-09-19,25794.66,25864.01,25578.37,25578.37,-190.99,-0.007411515070610997,0.000981786121192041
2025-09-22,25599.6,25887.69,25599.6,25880.6,302.23,0.01181584283908621,0.000829998158600409
2025-09-23,26121.0,26307.3,26041.69,26247.37,366.77,0.014171618896007043,0.00928881092401257
2025-09-24,26389.16,26394.03,26045.47,26196.73,-50.64,-0.0019293361582513047,0.005402065044993076
2025-09-25,26067.97,26247.85,26023.85,26023.85,-172.88,-0.006599296935151822,-0.004915117268452951
2025-09-26,25998.28,25998.28,25469.04,25580.32,-443.53,-0.017043212284116205,-0.0009825602284058155
2025-09-30,25738.31,25975.84,25738.31,25820.54,240.22,0.009390812937445814,0.006176232353621858
2025-10-01,26078.29,26325.79,25982.91,25982.91,162.37,0.006288404502771794,0.009982362878545592
2025-10-02,26392.31,26489.79,26330.25,26378.39,395.48,0.015220773962577594,0.015756510721855355
2025-10-03,26435.1,26761.06,26410.03,26761.06,382.67,0.01450695057583129,0.002149865856104105
2025-10-07,27029.28,27301.42,27017.08,27211.95,450.89,0.016848734691376155,0.010022771893190896
2025-10-08,26999.82,27110.43,26883.99,27063.68,-148.27,-0.00544870911492934,-0.007795472209819576
2025-10-09,27301.61,27463.12,27253.07,27301.92,238.24,0.008802941802445119,0.008791487336533788
2025-10-13,26762.6,26965.72,26470.44,26923.42,-378.5,-0.013863493849516795,-0.019753922068484586
2025-10-14,27282.1,27507.16,26764.06,26793.15,-130.27,-0.00483853834319703,0.013322230236723298
2025-10-15,26911.05,27275.71,26773.15,27275.71,482.56,0.01801057359810243,0.004400378454940901
2025-10-16,27337.32,27732.78,27337.32,27647.87,372.16,0.013644374426916794,0.0022587862974052797
2025-10-17,27399.91,27513.09,27302.37,27302.37,-345.5,-0.012496441859716545,-0.00896850281775774
2025-10-20,27480.44,27768.27,27412.45,27688.63,386.26,0.01414748976004665,0.006522144414569109
2025-10-21,27742.55,27969.05,27742.55,27752.41,63.78,0.0023034725806223566,0.0019473697326302108
